run_name,model_name,benchmark_name,benchmark_name_original,base_name,architecture,optimization,dataset_size,accuracy,runtime,experiment_type
idaOnDragonOriginalDatasets,ida_tydamin_ep35,coreutils_x86_O3_5hops,coreutils_x86_O3_5hops,coreutils,x86,O3,73242.0,26.33,427,IDA Pro on Ghidra
idaOnDragonOriginalDatasets,ida_tydamin_ep35,Dragon,Dragon,Dragon,,,,,444,IDA Pro on Ghidra
idaOnDragonOriginalDatasets,ida_tydamin_ep35,coreutils_arm64_O0_5hops,coreutils_arm64_O0_5hops,coreutils,arm64,O0,79462.0,50.76,452,IDA Pro on Ghidra
idaOnDragonOriginalDatasets,ida_tydamin_ep35,Dragon,Dragon,Dragon,,,,,321,IDA Pro on Ghidra
idaOnDragonOriginalDatasets,ida_tydamin_ep35,coreutils_x86_O2_5hops,coreutils_x86_O2_5hops,coreutils,x86,O2,51738.0,22.43,327,IDA Pro on Ghidra
idaOnDragonOriginalDatasets,ida_tydamin_ep35,Dragon,Dragon,Dragon,,,,,773,IDA Pro on Ghidra
idaOnDragonOriginalDatasets,ida_tydamin_ep35,coreutils_armhf_O1_5hops,coreutils_armhf_O1_5hops,coreutils,armhf,O1,83122.0,42.37,782,IDA Pro on Ghidra
idaOnDragonOriginalDatasets,ida_tydamin_ep35,Dragon,Dragon,Dragon,,,,,488,IDA Pro on Ghidra
idaOnDragonOriginalDatasets,ida_tydamin_ep35,coreutils_arm64_O1_5hops,coreutils_arm64_O1_5hops,coreutils,arm64,O1,68528.0,47.1,495,IDA Pro on Ghidra
idaOnDragonOriginalDatasets,ida_tydamin_ep35,Dragon,Dragon,Dragon,,,,,798,IDA Pro on Ghidra
idaOnDragonOriginalDatasets,ida_tydamin_ep35,coreutils_armhf_O2_5hops,coreutils_armhf_O2_5hops,coreutils,armhf,O2,90912.0,40.56,806,IDA Pro on Ghidra
idaOnDragonOriginalDatasets,ida_tydamin_ep35,Dragon,Dragon,Dragon,,,,,610,IDA Pro on Ghidra
idaOnDragonOriginalDatasets,ida_tydamin_ep35,coreutils_arm64_O2_5hops,coreutils_arm64_O2_5hops,coreutils,arm64,O2,96370.0,45.44,618,IDA Pro on Ghidra
